trade_no,start_date,cusip,type,quantity,rate
3491466,2025-04-29 07:04:10,91282CMM0,REP,30000000,4.400000
3491467,2025-04-29 07:04:13,91282CMM0,REP,35000000,4.400000
3491468,2025-04-29 07:04:21,912797PN1,REV,25000000,4.230000
3491476,2025-04-29 07:04:39,91282CMM0,REV,50000000,4.400000
3491477,2025-04-29 07:04:39,91282CMM0,REV,50000000,4.400000
3491525,2025-04-29 07:06:23,91282CMR9,REP,33000000,4.410000
3491526,2025-04-29 07:06:25,91282CMR9,REP,25000000,4.420000
3491534,2025-04-29 07:06:34,912797PW1,REV,26000000,4.350000
3491551,2025-04-29 07:06:45,91282CMR9,REV,50000000,4.420000
3491554,2025-04-29 07:06:48,912797PW1,REP,25000000,4.350000
3491587,2025-04-29 07:07:26,91282CAM3,REV,37000000,4.340000
3491607,2025-04-29 07:07:38,912797NV5,REP,42000000,4.380000
3491628,2025-04-29 07:07:54,912797NV5,REV,50000000,4.380000
3491698,2025-04-29 07:09:19,91282CMU2,REV,6000000,4.330000
3491758,2025-04-29 07:10:48,912797PB7,REP,10000000,4.200000
3491759,2025-04-29 07:11:04,912797PB7,REV,25000000,4.200000
3491760,2025-04-29 07:11:11,91282CMW8,REP,34000000,4.420000
3491762,2025-04-29 07:11:27,91282CMW8,REV,50000000,4.420000
3491778,2025-04-29 07:14:56,912797NV5,REV,25000000,4.380000
3491779,2025-04-29 07:15:23,912797PE1,REP,14000000,4.370000
3491782,2025-04-29 07:15:29,912797PE1,REV,25000000,4.370000
3491804,2025-04-29 07:18:34,912828Z37,REV,40000000,4.360000
3491808,2025-04-29 07:18:54,912828Z37,REP,25000000,4.360000
3491874,2025-04-29 07:21:41,91282CLS8,REP,31000000,4.390000
3491876,2025-04-29 07:21:50,91282CLS8,REV,25000000,4.390000
3491877,2025-04-29 07:21:50,91282CLS8,REV,50000000,4.390000
3491878,2025-04-29 07:21:50,91282CLS8,REV,50000000,4.390000
3491895,2025-04-29 07:23:33,91282CLS8,REP,29000000,4.400000
3491923,2025-04-29 07:32:00,912797PK7,REP,10000000,3.500000
3491924,2025-04-29 07:32:18,912797PK7,REV,25000000,3.550000
3492076,2025-04-29 07:45:00,912797QF7,REV,25000000,4.400000
3492077,2025-04-29 07:45:00,912797QF7,REV,50000000,4.400000
3492152,2025-04-29 07:50:25,91282CGE5,REP,25000000,4.000000
3492156,2025-04-29 07:51:08,91282CGA3,REP,35000000,4.150000
3492162,2025-04-29 07:51:26,91282CGA3,REV,50000000,4.170000
3492555,2025-04-29 09:01:44,912810UG1,REP,5000000,4.350000
3492556,2025-04-29 09:01:44,912810UG1,REV,25000000,4.370000
3492736,2025-04-29 09:24:26,912797QB6,REP,10000000,4.240000
3492738,2025-04-29 09:24:37,912797QB6,REV,50000000,4.260000
3492774,2025-04-29 09:29:32,9128284Z0,REV,25000000,4.200000
3492775,2025-04-29 09:29:34,91282CEF4,REP,5000000,4.340000
3492776,2025-04-29 09:29:34,912828ZE3,REP,5000000,4.340000
3492777,2025-04-29 09:29:34,91282CLG4,REP,5000000,4.380000
3492778,2025-04-29 09:29:34,91282CFH9,REP,5000000,4.390000
3492779,2025-04-29 09:29:34,91282CBS9,REP,5000000,4.400000
3492780,2025-04-29 09:29:34,91282CEV9,REP,5000000,4.350000
3492782,2025-04-29 09:29:34,912828ZQ6,REP,5000000,4.390000
3492783,2025-04-29 09:29:37,9128286S4,REP,5000000,4.400000
3492785,2025-04-29 09:29:37,91282CHH7,REP,5000000,4.400000
3492786,2025-04-29 09:29:43,912828ZB9,REV,25000000,4.270000
3492787,2025-04-29 09:29:38,91282CCP4,REP,5000000,4.380000
