order_id,order_timestamp,order_cusip,order_direction,order_size,order_price,order_source,apex_trade_no,apex_timestamp,apex_cusip,apex_type,apex_quantity,apex_rate,apex_shortcode
,2025-04-25 09:16:10.188,912810UJ5,Buy,25.000000,4.330000,BTEC_REPO_US,3489471,2025-04-29 09:16:10,912810UJ5,REV,25000000,4.330000,BTEC
,2025-04-25 09:16:10.189,912810UJ5,Sell,5.000000,4.310000,DEALERWEB_REPO,3489470,2025-04-29 09:16:10,912810UJ5,REP,5000000,4.310000,DEAL
,2025-04-25 09:20:36.042,91282CMU2,Buy,50.000000,4.330000,BTEC_REPO_US,3489520,2025-04-29 09:20:56,91282CMU2,REV,50000000,4.330000,BTEC
,2025-04-25 09:20:36.043,91282CMU2,Sell,33.000000,4.300000,BTEC_REPO_US,3489519,2025-04-29 09:20:36,91282CMU2,REP,33000000,4.300000,BTEC
,2025-04-25 09:35:43.909,912810QZ4,Buy,25.000000,4.290000,BTEC_REPO_US,3489617,2025-04-29 09:36:01,912810QZ4,REV,25000000,4.290000,BTEC
,2025-04-25 09:35:43.910,912810QZ4,Sell,5.000000,4.250000,DEALERWEB_REPO,3489616,2025-04-29 09:35:43,912810QZ4,REP,5000000,4.250000,DEAL
,2025-04-25 09:52:23.665,9128285N6,Buy,25.000000,4.280000,DEALERWEB_REPO,3489736,2025-04-29 09:52:41,9128285N6,REV,25000000,4.280000,DEAL
,2025-04-25 09:52:23.666,9128285N6,Sell,5.000000,4.210000,DEALERWEB_REPO,3489735,2025-04-29 09:52:23,9128285N6,REP,5000000,4.210000,DEAL
,2025-04-25 10:00:06.599,912797MG9,Buy,25.000000,4.270000,BTEC_REPO_US,3489769,2025-04-29 10:00:24,912797MG9,REV,25000000,4.270000,BTEC
,2025-04-25 10:00:06.599,912797MG9,Sell,5.000000,4.250000,BTEC_REPO_US,3489764,2025-04-29 10:00:06,912797MG9,REP,5000000,4.250000,BTEC
,2025-04-25 10:00:06.641,912797QJ9,Buy,25.000000,4.360000,BTEC_REPO_US,3489770,2025-04-29 10:00:24,912797QJ9,REV,25000000,4.360000,BTEC
,2025-04-25 10:00:06.642,912797QJ9,Sell,5.000000,4.270000,BTEC_REPO_US,3489763,2025-04-29 10:00:06,912797QJ9,REP,5000000,4.270000,BTEC
,2025-04-25 10:00:06.681,912797QJ9,Sell,5.000000,4.270000,BTEC_REPO_US,3489763,2025-04-29 10:00:06,912797QJ9,REP,5000000,4.270000,BTEC
,2025-04-25 10:00:07.922,91282CCA7,Sell,5.000000,4.330000,BTEC_REPO_US,3489765,2025-04-29 10:00:07,91282CCA7,REP,5000000,4.330000,BTEC
,2025-04-25 10:00:40.997,91282CFV8,Buy,6.000000,4.360000,BTEC_REPO_US,3489776,2025-04-29 10:00:41,91282CFV8,REV,6000000,4.360000,BTEC
,2025-04-25 10:00:40.997,91282CFV8,Sell,5.000000,4.340000,BTEC_REPO_US,3489777,2025-04-29 10:00:41,91282CFV8,REP,5000000,4.340000,BTEC
,2025-04-25 10:00:41.932,91282CMP3,Buy,18.000000,4.370000,BTEC_REPO_US,3489779,2025-04-29 10:00:41,91282CMP3,REV,18000000,4.370000,BTEC
,2025-04-25 10:00:41.932,91282CMP3,Sell,13.000000,4.340000,BTEC_REPO_US,3489780,2025-04-29 10:00:41,91282CMP3,REP,13000000,4.340000,BTEC
,2025-04-25 10:01:07.677,912810UJ5,Buy,50.000000,4.300000,BTEC_REPO_US,3489787,2025-04-29 10:01:25,912810UJ5,REV,50000000,4.300000,BTEC
,2025-04-25 10:01:07.678,912810UJ5,Sell,18.000000,4.240000,BTEC_REPO_US,3489785,2025-04-29 10:01:07,912810UJ5,REP,18000000,4.240000,BTEC
,2025-04-25 10:01:37.359,91282CMU2,Buy,25.000000,4.270000,BTEC_REPO_US,3489791,2025-04-29 10:01:37,91282CMU2,REV,25000000,4.270000,BTEC
,2025-04-25 10:01:37.359,91282CMU2,Sell,10.000000,4.250000,BTEC_REPO_US,3489790,2025-04-29 10:01:37,91282CMU2,REP,10000000,4.250000,BTEC
,2025-04-25 10:01:54.170,912797LN5,Buy,25.000000,4.320000,BTEC_REPO_US,3489797,2025-04-29 10:02:12,912797LN5,REV,25000000,4.320000,BTEC
